date,PnL,win,winrate,running_bal,peaks,drawdown
2024-09-18,2.757953859999999,1.0,1.0,2.757953859999999,2.757953859999999,0.0
2024-09-19,-51.351913520000004,0.0,0.5,-48.59395966,2.757953859999999,-18.619569480397335
2024-09-20,-172.25714594,0.0,0.3333333333333333,-220.85110559999998,2.757953859999999,-81.07788266624593
2024-09-21,67.36857000000002,1.0,0.5,-153.48253559999995,2.757953859999999,-56.650871403628194
2024-09-22,-63.80402,0.0,0.4,-217.28655559999996,2.757953859999999,-79.78542086994887
2024-09-23,-69.39437999,0.0,0.3333333333333333,-286.68093559,2.757953859999999,-104.94696580964559
2024-09-24,2.708,1.0,0.42857142857142855,-283.97293558999996,2.757953859999999,-103.9650784621901
2024-09-25,-362.06759993,0.0,0.375,-646.0405355199999,2.757953859999999,-235.24631749278078
2024-09-26,-27.922061880000005,0.0,0.3333333333333333,-673.9625973999999,2.757953859999999,-245.37051220284022
2024-09-27,0.0,0.0,0.3,-673.9625973999999,2.757953859999999,-245.37051220284022
2024-09-28,-2.7559866299999998,0.0,0.2727272727272727,-676.71858403,2.757953859999999,-246.36979890954387
2024-09-29,97.05974382999999,1.0,0.3333333333333333,-579.6588402,2.757953859999999,-211.177134798042
2024-09-30,-240.04918348,0.0,0.3076923076923077,-819.70802368,2.757953859999999,-298.2160033453208
2024-10-01,0.0,0.0,0.2857142857142857,-819.70802368,2.757953859999999,-298.2160033453208
2024-10-02,1997.05326894,1.0,0.3333333333333333,1177.34524526,1177.34524526,0.0
2024-10-03,683.86750553,1.0,0.375,1861.21275079,1861.21275079,0.0
2024-10-04,187.97162977999997,1.0,0.4117647058823529,2049.18438057,2049.18438057,0.0
